n;t
359;2.15e-06
360;2.14e-06
361;2.18e-06
362;2.17e-06
363;2.69e-06
364;2.05e-06
365;2.12e-06
366;2.13e-06
367;2.12e-06
368;2.13e-06
369;2.14e-06
370;2.11e-06
371;2.07e-06
372;2.14e-06
373;2.15e-06
374;2.16e-06
375;2.15e-06
376;2.17e-06
377;2.15e-06
378;2.1e-06
379;2.17e-06
380;2.17e-06
381;2.18e-06
382;2.21e-06
383;2.19e-06
384;2.21e-06
242;1.44e-06
386;2.27e-06
387;2.19e-06
388;2.23e-06
389;2.22e-06
390;2.25e-06
391;2.24e-06
392;2.25e-06
393;2.31e-06
394;2.29e-06
395;2.22e-06
396;2.7e-06
397;2.5e-06
398;2.33e-06
399;2.3e-06
400;2.3e-06
401;2.54e-06
402;2.35e-06
403;3.15e-06
404;7.56e-06
405;6.8e-06
406;6.64e-06
407;7.45e-06
408;6.7e-06
409;6.549e-06
410;6.469e-06
411;6.56e-06
412;1.193e-05
413;6.74e-06
414;6.62e-06
415;6.86e-06
416;6.96e-06
417;6.69e-06
418;6.73e-06
419;6.33e-06
420;6.8e-06
421;6.69e-06
422;8.26e-06
423;7.14e-06
424;7.12e-06
425;8.38e-06
426;2.9e-06
427;2.69e-06
428;2.68e-06
429;2.72e-06
430;2.82e-06
431;2.79e-06
432;2.62e-06
433;2.73e-06
434;2.72e-06
435;2.72e-06
436;2.65e-06
437;2.54e-06
438;2.55e-06
439;2.57e-06
440;2.56e-06
441;2.49e-06
442;2.57e-06
443;2.55e-06
444;2.549e-06
445;2.46e-06
446;2.6e-06
447;2.56e-06
448;2.5e-06
449;2.5e-06
450;2.54e-06
451;2.62e-06
452;2.579e-06
453;2.62e-06
454;2.61e-06
455;2.6e-06
456;2.839e-06
457;3.07e-06
458;3.41e-06
459;7.06e-06
460;7.67e-06
461;7.31e-06
462;7.29e-06
463;3.51e-06
464;3.16e-06
465;2.62e-06
466;2.65e-06
467;2.66e-06
468;2.67e-06
469;2.62e-06
470;2.73e-06
471;2.65e-06
472;2.679e-06
473;2.76e-06
474;2.63e-06
475;2.67e-06
476;3.16e-06
477;2.63e-06
478;2.66e-06
479;2.79e-06
480;2.69e-06
481;3.25e-06
482;3.07e-06
483;2.95e-06
484;2.99e-06
485;2.98e-06
486;3.01e-06
487;2.929e-06
488;2.99e-06
489;3.33e-06
490;3.33e-06
491;2.81e-06
492;2.909e-06
493;2.69e-06
494;3.52e-06
495;2.92e-06
496;2.81e-06
497;2.77e-06
498;2.73e-06
499;3.72e-06
500;3.49e-06
501;3.08e-06
502;2.95e-06
503;3.51e-06
504;3.27e-06
505;3.08e-06
506;3.92e-06
507;3.5e-06
508;2.81e-06
509;2.84e-06
510;2.83e-06
511;2.8e-06
512;2.81e-06
513;2.97e-06
514;2.87e-06
515;2.93e-06
516;2.91e-06
517;2.88e-06
518;2.89e-06
519;2.88e-06
520;2.88e-06
521;2.88e-06
522;2.88e-06
523;2.9e-06
524;2.93e-06
525;2.92e-06
526;2.9e-06
527;2.89e-06
528;2.9e-06
529;2.87e-06
530;3.03e-06
531;3.28e-06
532;3.32e-06
533;3.47e-06
534;3.52e-06
535;3.34e-06
536;3.19e-06
537;3.17e-06
538;3.09e-06
539;3.04e-06
540;3.31e-06
541;3.1e-06
542;3.13e-06
543;3.13e-06
544;3.35e-06
545;3.13e-06
546;3.28e-06
547;3.299e-06
548;3.12e-06
549;3.11e-06
550;3.13e-06
551;3.15e-06
552;3.08e-06
553;3.34e-06
554;3.16e-06
555;3.4e-06
556;3.28e-06
557;3.36e-06
558;3.36e-06
559;3.39e-06
560;3.36e-06
561;3.41e-06
562;3.43e-06
563;3.29e-06
564;3.22e-06
565;3.23e-06
566;3.22e-06
567;3.26e-06
568;3.19e-06
569;3.22e-06
570;3.25e-06
571;3.41e-06
572;3.46e-06
573;3.44e-06
574;3.25e-06
575;3.25e-06
576;3.28e-06
577;3.53e-06
578;3.46e-06
579;3.449e-06
580;3.47e-06
581;3.48e-06
582;3.49e-06
583;3.54e-06
584;3.49e-06
585;3.5e-06
586;3.49e-06
587;3.34e-06
588;3.329e-06
589;3.31e-06
590;3.33e-06
591;3.33e-06
592;3.53e-06
593;3.57e-06
594;3.59e-06
595;3.34e-06
596;3.35e-06
597;3.37e-06
598;3.37e-06
599;5.04e-06
600;4.72e-06
601;3.81e-06
602;3.83e-06
603;1.5069e-05
604;3.77e-06
605;3.64e-06
606;3.57e-06
607;3.75e-06
608;3.64e-06
609;3.45e-06
111;1.05e-06
611;3.46e-06
612;3.42e-06
613;3.66e-06
614;4.05e-06
615;3.63e-06
616;3.71e-06
617;3.73e-06
618;3.43e-06
619;3.44e-06
620;3.5e-06
