n;t
9;7.6e-07
9;6.8e-07
9;6.9e-07
9;6.9e-07
8;7.2e-07
9;6.5e-07
9;7e-07
9;6.5e-07
9;7.9e-07
8;8.1e-07
8;6.6e-07
9;6.5e-07
9;6.7e-07
9;7.3e-07
9;7.8e-07
8;6.8e-07
9;7.9e-07
9;7.5e-07
9;6.9e-07
9;7.49e-07
9;8.4e-07
9;6.8e-07
8;6e-07
9;5.8e-07
9;6.5e-07
9;6.6e-07
9;6.2e-07
9;6e-07
8;6.5e-07
9;6.3e-07
9;6.3e-07
8;5.8e-07
9;6.2e-07
9;6.6e-07
8;6.5e-07
9;6e-07
8;8e-07
9;1.09e-06
8;6.9e-07
8;6.6e-07
9;7.5e-07
9;9.4e-07
9;6.7e-07
9;7.3e-07
9;6.7e-07
9;7.8e-07
9;7e-07
8;6.5e-07
9;6.4e-07
9;6.9e-07
9;6.8e-07
9;6.1e-07
9;7.3e-07
9;5.8e-07
9;7.2e-07
9;7e-07
9;7.1e-07
9;7e-07
9;6.6e-07
9;8.5e-07
9;6.9e-07
9;7.6e-07
9;6.8e-07
9;6.4e-07
2;7.4e-07
9;6.9e-07
9;6.6e-07
9;6.7e-07
9;6.7e-07
8;7.9e-07
9;6.9e-07
9;7.4e-07
8;6.9e-07
8;6.3e-07
9;6.6e-07
9;7.2e-07
9;7e-07
9;6.6e-07
9;6.8e-07
9;7e-07
9;7.2e-07
9;6.7e-07
9;6.9e-07
9;7.2e-07
9;7.4e-07
9;5.9e-07
8;6.3e-07
9;7.1e-07
8;7.1e-07
9;6.3e-07
9;6.2e-07
9;6.7e-07
9;6.9e-07
9;6.7e-07
8;6.79e-07
9;6.3e-07
9;7.1e-07
8;6.5e-07
9;6.3e-07
9;6.9e-07
8;7e-07
9;6.6e-07
9;6.8e-07
9;6.6e-07
9;8.4e-07
9;6.5e-07
9;6.4e-07
9;6.2e-07
9;6.2e-07
9;7.1e-07
8;5.6e-07
9;7.3e-07
9;6.5e-07
8;6.8e-07
9;6.7e-07
9;6.7e-07
9;6.6e-07
9;6.4e-07
9;7.2e-07
9;6.9e-07
9;6.5e-07
8;6.5e-07
8;5.8e-07
9;6.9e-07
9;6.8e-07
8;6.6e-07
9;6.6e-07
9;7e-07
9;6.9e-07
9;6.9e-07
9;6.4e-07
9;6.6e-07
9;6.2e-07
9;7.2e-07
9;6.6e-07
9;6.5e-07
9;6.3e-07
9;6.3e-07
9;6.8e-07
9;7.2e-07
9;6.5e-07
9;5.9e-07
9;6.3e-07
9;6.1e-07
9;6e-07
9;6.1e-07
9;6.8e-07
9;7e-07
9;7.1e-07
9;6.8e-07
9;6.8e-07
9;7.2e-07
9;6.6e-07
9;9.8e-07
9;7.5e-07
